Combined_Key,Country_Region,Province_State,Admin2,iso2,iso3,FIPS,Lat,Long,Population_Count
"Phelps, Nebraska, US",United States,Nebraska,Phelps,US,USA,31137,40.51156033,-99.41461667,9034
"Whitfield, Georgia, US",United States,Georgia,Whitfield,US,USA,13313,34.80987459,-84.96093476,104628
"Crawford, Pennsylvania, US",United States,Pennsylvania,Crawford,US,USA,42039,41.68447709,-80.10760592,84629
"Yuma, Colorado, US",United States,Colorado,Yuma,US,USA,8125,40.00346839,-102.4258673,10019
"Allen, Ohio, US",United States,Ohio,Allen,US,USA,39003,40.77285242,-84.10802343,102351
"Union, Louisiana, US",United States,Louisiana,Union,US,USA,22111,32.83121059,-92.3749373,22108
"Judith Basin, Montana, US",United States,Montana,Judith Basin,US,USA,30045,47.04581276,-110.2660688,2007
"Mason, Michigan, US",United States,Michigan,Mason,US,USA,26105,43.99509218,-86.24988902,29144
"Clay, North Carolina, US",United States,North Carolina,Clay,US,USA,37043,35.05704275,-83.74353633,11231
"Mingo, West Virginia, US",United States,West Virginia,Mingo,US,USA,54059,37.73048351,-82.13338365,23424
"Meade, Kentucky, US",United States,Kentucky,Meade,US,USA,21163,37.96163597,-86.21028219,28572
"Calumet, Wisconsin, US",United States,Wisconsin,Calumet,US,USA,55015,44.0816316,-88.21780273,50089
"Gilliam, Oregon, US",United States,Oregon,Gilliam,US,USA,41021,45.37160076,-120.2048869,1912
"Lawrence, Tennessee, US",United States,Tennessee,Lawrence,US,USA,47099,35.21675201,-87.39787695,44142
"Matagorda, Texas, US",United States,Texas,Matagorda,US,USA,48321,28.81955746,-96.01230294,36643
"Thayer, Nebraska, US",United States,Nebraska,Thayer,US,USA,31169,40.17626377,-97.59504381,5003
"Hart, Georgia, US",United States,Georgia,Hart,US,USA,13147,34.34626973,-82.96567682,26205
"St. Francois, Missouri, US",United States,Missouri,St. Francois,US,USA,29187,37.81214171,-90.47598685,67215
"Monroe, Florida, US",United States,Florida,Monroe,US,USA,12087,25.20904673,-81.07812416,74228
"Montgomery, North Carolina, US",United States,North Carolina,Montgomery,US,USA,37123,35.33155144,-79.90416657,27173
"Greenbrier, West Virginia, US",United States,West Virginia,Greenbrier,US,USA,54025,37.9463652,-80.45335881,34662
"Phillips, Colorado, US",United States,Colorado,Phillips,US,USA,8095,40.59414277,-102.3577703,4265
"Jackson, Minnesota, US",United States,Minnesota,Jackson,US,USA,27063,43.67423373,-95.15398258,9846
"Piatt, Illinois, US",United States,Illinois,Piatt,US,USA,17147,40.01360584,-88.59319339,16344
"Pickaway, Ohio, US",United States,Ohio,Pickaway,US,USA,39129,39.64170392,-83.0243386,58457
"Norfolk, Virginia, US",United States,Virginia,Norfolk,US,USA,51710,36.89934014,-76.26420872,242742
"Bibb, Georgia, US",United States,Georgia,Bibb,US,USA,13021,32.80904227,-83.70489165,153159
"Johnson, Kentucky, US",United States,Kentucky,Johnson,US,USA,21115,37.85106355,-82.8264322,22188
"Bent, Colorado, US",United States,Colorado,Bent,US,USA,8011,37.95474293,-103.0720195,5577
"Walton, Georgia, US",United States,Georgia,Walton,US,USA,13297,33.78017694,-83.73552314,94593
"Conecuh, Alabama, US",United States,Alabama,Conecuh,US,USA,1035,31.43401703,-86.99320044,12067
"Mineral, West Virginia, US",United States,West Virginia,Mineral,US,USA,54057,39.41561583,-78.94104895,26868
"Kingfisher, Oklahoma, US",United States,Oklahoma,Kingfisher,US,USA,40073,35.94530008,-97.94193268,15765
"Redwood, Minnesota, US",United States,Minnesota,Redwood,US,USA,27127,44.40555844,-95.25207021,15170
"New York, New York, US",United States,New York,New York,US,USA,36061,40.7672726,-73.97152637,8336817
"McMullen, Texas, US",United States,Texas,McMullen,US,USA,48311,28.35251708,-98.56769164,743
"Chase, Nebraska, US",United States,Nebraska,Chase,US,USA,31029,40.5237198,-101.6978026,3924
"Atchison, Missouri, US",United States,Missouri,Atchison,US,USA,29005,40.43238737,-95.42970639,5143
"Cibola, New Mexico, US",United States,New Mexico,Cibola,US,USA,35006,34.91131525,-107.998876,26675
"Santa Cruz, California, US",United States,California,Santa Cruz,US,USA,6087,37.05580291,-122.0066524,273213
"Kittson, Minnesota, US",United States,Minnesota,Kittson,US,USA,27069,48.77754106,-96.78317184,4298
"Rowan, North Carolina, US",United States,North Carolina,Rowan,US,USA,37159,35.64003916,-80.52446628,142088
"Nobles, Minnesota, US",United States,Minnesota,Nobles,US,USA,27105,43.67434621,-95.75329576,21629
"Island, Washington, US",United States,Washington,Island,US,USA,53029,48.14713305,-122.5216407,85141
"Latah, Idaho, US",United States,Idaho,Latah,US,USA,16057,46.81587887,-116.7113698,40108
"Osceola, Michigan, US",United States,Michigan,Osceola,US,USA,26133,43.98992088,-85.32566756,23460
"Gwinnett, Georgia, US",United States,Georgia,Gwinnett,US,USA,13135,33.96044201,-84.02137802,936250
"Manistee, Michigan, US",United States,Michigan,Manistee,US,USA,26101,44.33352407,-86.05626916,24558
"Kearney, Nebraska, US",United States,Nebraska,Kearney,US,USA,31099,40.50663314,-98.94877182,6495
"Caldwell, Kentucky, US",United States,Kentucky,Caldwell,US,USA,21033,37.14749129,-87.86948214,12747
"Arapahoe, Colorado, US",United States,Colorado,Arapahoe,US,USA,8005,39.64977461,-104.3353617,656590
"Miami, Indiana, US",United States,Indiana,Miami,US,USA,18103,40.76940965,-86.04525048,35516
"Panola, Mississippi, US",United States,Mississippi,Panola,US,USA,28107,34.36398677,-89.95064249,34192
"Custer, South Dakota, US",United States,South Dakota,Custer,US,USA,46033,43.67741105,-103.4534521,8972
"Halifax, Virginia, US",United States,Virginia,Halifax,US,USA,51083,36.76654925,-78.93512622,33911
"Sumter, South Carolina, US",United States,South Carolina,Sumter,US,USA,45085,33.91826534,-80.37942316,106721
"Clay, West Virginia, US",United States,West Virginia,Clay,US,USA,54015,38.46231092,-81.07652217,8508
"Cumberland, Kentucky, US",United States,Kentucky,Cumberland,US,USA,21057,36.78926125,-85.39050034,6614
"Washington, Ohio, US",United States,Ohio,Washington,US,USA,39167,39.45690571,-81.49121382,59911
"Warren, New Jersey, US",United States,New Jersey,Warren,US,USA,34041,40.85951833,-74.99556527,105267
"Bailey, Texas, US",United States,Texas,Bailey,US,USA,48017,34.06854817,-102.8299707,7000
"Bradford, Pennsylvania, US",United States,Pennsylvania,Bradford,US,USA,42015,41.78869215,-76.51570822,60323
"Covington, Virginia, US",United States,Virginia,Covington,US,USA,51580,37.7824656,-79.98631446,5538
"Stoddard, Missouri, US",United States,Missouri,Stoddard,US,USA,29207,36.85571651,-89.9444155,29025
"Union, Mississippi, US",United States,Mississippi,Union,US,USA,28145,34.49162015,-89.00776006,28815
"Traill, North Dakota, US",United States,North Dakota,Traill,US,USA,38097,47.45367788,-97.16323288,8036
"Martin, North Carolina, US",United States,North Carolina,Martin,US,USA,37117,35.84326734,-77.10860251,22440
"Crook, Wyoming, US",United States,Wyoming,Crook,US,USA,56011,44.58855102,-104.5697705,7584
"Blount, Tennessee, US",United States,Tennessee,Blount,US,USA,47009,35.68938198,-83.92847788,133088
"Bracken, Kentucky, US",United States,Kentucky,Bracken,US,USA,21023,38.69158994,-84.08532444,8303
"Blackford, Indiana, US",United States,Indiana,Blackford,US,USA,18009,40.47388153,-85.32499702,11758
"Ford, Kansas, US",United States,Kansas,Ford,US,USA,20057,37.69200114,-99.88825298,33619
"Lehigh, Pennsylvania, US",United States,Pennsylvania,Lehigh,US,USA,42077,40.6154815,-75.59435245,369318
"Curry, Oregon, US",United States,Oregon,Curry,US,USA,41015,42.45911325,-124.157282,22925
"Richland, Ohio, US",United States,Ohio,Richland,US,USA,39139,40.77180308,-82.5379961,121154
"Arenac, Michigan, US",United States,Michigan,Arenac,US,USA,26011,44.0636262,-83.89277559,14883
"Iredell, North Carolina, US",United States,North Carolina,Iredell,US,USA,37097,35.80950511,-80.8743128,181806
"Lane, Kansas, US",United States,Kansas,Lane,US,USA,20101,38.48119447,-100.4660754,1535
"Millard, Utah, US",United States,Utah,Millard,US,USA,49027,39.0729209,-113.1020328,13188
"Franklin, Florida, US",United States,Florida,Franklin,US,USA,12037,29.83791238,-84.82731662,12125
"Clearfield, Pennsylvania, US",United States,Pennsylvania,Clearfield,US,USA,42033,41.00110782,-78.47592663,79255
"Sherman, Oregon, US",United States,Oregon,Sherman,US,USA,41055,45.41501554,-120.6827834,1780
"Park, Wyoming, US",United States,Wyoming,Park,US,USA,56029,44.52157546,-109.5852825,29194
"St. Lawrence, New York, US",United States,New York,St. Lawrence,US,USA,36089,44.4976179,-75.06550039,107740
"Lincoln, New Mexico, US",United States,New Mexico,Lincoln,US,USA,35027,33.74526079,-105.4586166,19572
"American Samoa, US",United States,American Samoa,,AS,ASM,60,-14.271,-170.132,55641
"Daviess, Missouri, US",United States,Missouri,Daviess,US,USA,29061,39.96145298,-93.98519678,8278
"Isanti, Minnesota, US",United States,Minnesota,Isanti,US,USA,27059,45.56181234,-93.29487636,40596
"Douglas, Kansas, US",United States,Kansas,Douglas,US,USA,20045,38.88503636,-95.2925121,122259
"Swift, Minnesota, US",United States,Minnesota,Swift,US,USA,27151,45.2829032,-95.68264092,9266
"Thomas, Kansas, US",United States,Kansas,Thomas,US,USA,20193,39.35107575,-101.0553705,7777
"Hanson, South Dakota, US",United States,South Dakota,Hanson,US,USA,46061,43.6746384,-97.78715148,3453
"Boundary, Idaho, US",United States,Idaho,Boundary,US,USA,16021,48.76684761,-116.4630179,12245
"Columbia, Oregon, US",United States,Oregon,Columbia,US,USA,41009,45.94464254,-123.0890898,52354
"Northampton, Virginia, US",United States,Virginia,Northampton,US,USA,51131,37.34062933,-75.87751591,11710
"Outagamie, Wisconsin, US",United States,Wisconsin,Outagamie,US,USA,55087,44.41578887,-88.46565023,187885
"Pierce, Nebraska, US",United States,Nebraska,Pierce,US,USA,31139,42.26434853,-97.60122773,7148
"Tompkins, New York, US",United States,New York,Tompkins,US,USA,36109,42.44945765,-76.47229843,102180
"Thomas, Georgia, US",United States,Georgia,Thomas,US,USA,13275,30.86392347,-83.91847289,44451
"Yuma, Arizona, US",United States,Arizona,Yuma,US,USA,4027,32.76895712,-113.9066674,213787
"Arthur, Nebraska, US",United States,Nebraska,Arthur,US,USA,31005,41.56896142,-101.6959559,463
"Escambia, Florida, US",United States,Florida,Escambia,US,USA,12033,30.67652764,-87.37284571,318316
"Crawford, Michigan, US",United States,Michigan,Crawford,US,USA,26039,44.68255561,-84.61006219,14029
"Caledonia, Vermont, US",United States,Vermont,Caledonia,US,USA,50005,44.46548598,-72.10314651,29993
"Navajo, Arizona, US",United States,Arizona,Navajo,US,USA,4017,35.3997715,-110.3218983,110924
"Clark, Missouri, US",United States,Missouri,Clark,US,USA,29045,40.41040752,-91.73661677,6797
"Delaware, Indiana, US",United States,Indiana,Delaware,US,USA,18035,40.22787247,-85.39732772,114135
"Monroe, West Virginia, US",United States,West Virginia,Monroe,US,USA,54063,37.56274716,-80.54577965,13275
"Carter, Montana, US",United States,Montana,Carter,US,USA,30011,45.5197966,-104.5395536,1252
"Flathead, Montana, US",United States,Montana,Flathead,US,USA,30029,48.29575866,-114.0520569,103806
"Worcester, Massachusetts, US",United States,Massachusetts,Worcester,US,USA,25027,42.35026951,-71.90493363,830622
"Adams, North Dakota, US",United States,North Dakota,Adams,US,USA,38001,46.09686891,-102.5285397,2216
"Daviess, Indiana, US",United States,Indiana,Daviess,US,USA,18027,38.70186039,-87.07185406,33351
"Tulare, California, US",United States,California,Tulare,US,USA,6107,36.22026558,-118.8020203,466195
"Johnson, Iowa, US",United States,Iowa,Johnson,US,USA,19103,41.67169354,-91.58754744,151140
"Northern Mariana Islands, US",United States,Northern Mariana Islands,,MP,MNP,69,15.0979,145.6739,55144
"Horry, South Carolina, US",United States,South Carolina,Horry,US,USA,45051,33.9212828,-78.99555293,354081
"Putnam, Florida, US",United States,Florida,Putnam,US,USA,12107,29.60779729,-81.74230285,74521
"Amite, Mississippi, US",United States,Mississippi,Amite,US,USA,28005,31.17467303,-90.80501621,12297
"Midland, Michigan, US",United States,Michigan,Midland,US,USA,26111,43.64330771,-84.38804374,83156
"Jefferson, Iowa, US",United States,Iowa,Jefferson,US,USA,19101,41.03192394,-91.94849466,18295
"Hancock, Kentucky, US",United States,Kentucky,Hancock,US,USA,21091,37.83766422,-86.78280584,8722
"Dyer, Tennessee, US",United States,Tennessee,Dyer,US,USA,47045,36.05931946,-89.41542855,37159
"Marshall, Kentucky, US",United States,Kentucky,Marshall,US,USA,21157,36.8800707,-88.32803576,31100
"Lyman, South Dakota, US",United States,South Dakota,Lyman,US,USA,46085,43.89522709,-99.85201878,3781
"Holt, Nebraska, US",United States,Nebraska,Holt,US,USA,31089,42.45522056,-98.78402558,10067
"Vigo, Indiana, US",United States,Indiana,Vigo,US,USA,18167,39.42944561,-87.39169027,107038
"Polk, Wisconsin, US",United States,Wisconsin,Polk,US,USA,55095,45.46130348,-92.44182875,43783
"St. Helena, Louisiana, US",United States,Louisiana,St. Helena,US,USA,22091,30.82210324,-90.71013176,10132
"Bear River, Utah, US",United States,Utah,Bear River,US,USA,,41.52106798,-113.0832816,186818
